Data;Tipo de Documento;Número de Documento;NIF do Fornecedor;Nome do Fornecedor;Base Tributável;Taxa de IVA;IVA;Total;País;Setor de Atividade;Categoria;Estado do Documento
10-01-2025;FT;HTL-2025/0123;501234567;Hotel Champs Élysées Paris;600,00;10;60,00;660,00;FR;I - Alojamento, restauração e similares;Alojamento;Normal
11-01-2025;FT;TRF-2025/0045;502345678;Paris Airport Transfers;120,00;20;24,00;144,00;FR;H - Transportes e armazenagem;Transporte;Normal
12-01-2025;FT;ACT-2025/0234;503456789;Louvre Tours & Activities;150,00;20;30,00;180,00;FR;N - Atividades administrativas;Outros serviços;Normal
14-01-2025;FT;CRZ-2025/0567;504567890;Mediterranean Cruises Ltd;2100,00;0;0,00;2100,00;MT;H - Transportes e armazenagem;Transporte;Normal
16-01-2025;FT;FLY-2025/0891;505678901;TAP Air Portugal;450,00;6;27,00;477,00;PT;H - Transportes e armazenagem;Transporte;Normal
18-01-2025;FT;SAF-2025/0123;506789012;Kenya Safari Adventures;2800,00;0;0,00;2800,00;KE;N - Atividades administrativas;Outros serviços;Normal
20-01-2025;FT;HTL-2025/0456;507890123;Safari Lodge Masai Mara;700,00;16;112,00;812,00;KE;I - Alojamento, restauração e similares;Alojamento;Normal
22-01-2025;FT;HTL-2025/0789;508901234;Hotel Colosseum Roma;350,00;10;35,00;385,00;IT;I - Alojamento, restauração e similares;Alojamento;Normal
24-01-2025;FT;TRF-2025/0234;509012345;Roma City Tours;80,00;22;17,60;97,60;IT;N - Atividades administrativas;Outros serviços;Normal
26-01-2025;FT;FLY-2025/0567;510123456;Japan Airlines;3200,00;0;0,00;3200,00;JP;H - Transportes e armazenagem;Transporte;Normal
28-01-2025;FT;HTL-2025/0890;511234567;Tokyo Grand Hotel;1500,00;10;150,00;1650,00;JP;I - Alojamento, restauração e similares;Alojamento;Normal
30-01-2025;FT;FLY-2025/0123;512345678;American Airlines;1200,00;0;0,00;1200,00;US;H - Transportes e armazenagem;Transporte;Normal
01-02-2025;FT;HTL-2025/0456;513456789;Times Square Hotel NYC;600,00;8.875;53,25;653,25;US;I - Alojamento, restauração e similares;Alojamento;Normal
03-02-2025;FT;RST-2025/0789;514567890;Cancun Beach Resort;1600,00;16;256,00;1856,00;MX;I - Alojamento, restauração e similares;Alojamento;Normal
05-02-2025;FT;FLY-2025/0234;515678901;Thai Airways;1800,00;0;0,00;1800,00;TH;H - Transportes e armazenagem;Transporte;Normal
07-02-2025;FT;HTL-2025/0567;516789012;Bangkok Riverside Hotel;700,00;7;49,00;749,00;TH;I - Alojamento, restauração e similares;Alojamento;Normal
09-02-2025;FT;CRZ-2025/0890;517890123;Caribbean Cruise Lines;2400,00;0;0,00;2400,00;BS;H - Transportes e armazenagem;Transporte;Normal
11-02-2025;FT;HTL-2025/0123;518901234;Nassau Paradise Resort;800,00;12;96,00;896,00;BS;I - Alojamento, restauração e similares;Alojamento;Normal
13-02-2025;FT;INS-2025/0456;519012345;Travel Insurance Europe;250,00;0;0,00;250,00;PT;K - Atividades financeiras;Seguros;Normal
15-02-2025;FT;ADM-2025/0789;520123456;Agência Comissões e Taxas;180,00;23;41,40;221,40;PT;N - Atividades administrativas;Outros serviços;Normal
